Id,CreatedAt,Description,File,Slug,Title,Images
1,01/26/2015 10:34:00,Things that I did in the past but forgot to write about and starting this blog for the same reason...,content.md,stuff-from-the-past,Stuff from the Past,
2,02/04/2015 17:32:00,Sorry Windows... See you later,content.md,leaving-a-customer-tailored-operating-system,Leaving a Customer Tailored Operating System,
3,02/20/2015 20:54:00,Experience with Ubuntu. Small post.,content.md,starting-to-like-ubuntu,Starting to like Ubuntu,
4,03/01/2015 16:33:00,RealTalk,content.md,the-real-me,The Real Me,
5,03/08/2015 23:19:00,Get your linux on.,content.md,solving-a-few-issues,Solving a few Issues,
6,04/03/2015 00:01:00,"Let's see what I've been doing... Oh, and my windows isn't working 😂",content.md,a-nice-adventure,A Nice Adventure,
7,04/03/2015 00:22:00,Just a quick update about what went down.,content.md,update-x27-a-nice-adventure-x27,"Update: ""A Nice Adventure""",
8,04/04/2015 20:18:00,Some networking stuff here...,content.md,networking,Networking,
9,04/18/2015 23:40:00,Just chillin',content.md,what-to-do,What to do?,
10,05/16/2015 22:57:00,What's up?,content.md,have-been-busy,Have Been Busy,
11,05/17/2015 19:52:00,Some YouTube recommendations for you.,content.md,recommended-channels,Recommended Channels,
12,06/20/2015 16:18:00,Just busy with college work... 😫,content.md,been-busy,Been Busy,
13,07/02/2015 00:12:00,And the first year of college comes to a close...,content.md,first-year-complete-almost,"First Year Complete, Almost",
14,09/18/2015 19:18:00,Moving this blog to a new home..,content.md,moving,Moving...,
15,12/14/2015 18:40:00,Things that I'm doing these days.,content.md,catching-up,Catching up...,
16,02/14/2016 23:26:04,Some UWP magic for ya. Get the accent color of the machine with this small snippet...,content.md,getting-reference-to-the-accent-color,Getting reference to the Accent Color,
17,05/05/2016 09:40:25,"Today I wrote some C++ ",content.md,the-timer-class,The Timer Class,
18,08/07/2016 01:42:50,"Well, if you're starting to use a new Linux machine, prolly go through this...",content.md,things-x2-f-x2-f-to-do-right-after-you-install-a-linux-distro,Things //To Do right after you install a Linux Distro,
19,08/13/2017 22:47:08,What the hell have I been upto? Where was I all this while?,content.md,where-have-i-been,Where have I been?,
20,08/24/2017 12:21:26,How did I do in my college interview and landed my first job! 🥳,content.md,my-interview-experience,My Interview Experience,
21,08/30/2017 20:29:17,Uh... Just my advice about campus placements...,content.md,so-how-did-i-do,"So, how did I do?",
22,07/05/2018 00:47:37,WOW. These four years went past real fast.,content.md,four-unexplainable-years,Four Unexplainable Years,
23,11/21/2018 08:13:05,"Good ol' friends. Can't live with them, can't live without 'em...",content.md,friends,Friends,
24,01/23/2019 13:12:37,What can our dreams tell about us?,content.md,understanding-your-dreams,Understanding your Dreams,
25,01/27/2019 20:21:48,I should discuss my love-hate relationship. You're gonna wanna listen to this... 😂,content.md,my-love-hate-relationship,My Love-Hate Relationship,
26,02/02/2019 06:10:09,Just calm down sir...,content.md,failure,Failure,
27,03/20/2019 23:53:10,"Oh, damn that was close. Missed by that much...",content.md,that-mini-heart-attack,That Mini-Heart Attack,
28,04/03/2019 17:44:28,NVM,content.md,the-game-of-life,The game of life,
29,04/29/2019 18:43:24,Do we really need Instant Messaging?,content.md,the-need-for-i-ms,The need for IMs,
30,05/20/2019 10:26:29,OOOH,content.md,the-post-that-cannot-be-posted,The Post that cannot be posted,
31,06/02/2019 20:17:13,Talking about our online presence and clearing my mind...,content.md,how-we-express-ourselves,How we express Ourselves,
32,06/14/2019 22:25:10,"Getting my regular needed sleep everyday, how tho?",content.md,maintaining-a-triphasic-sleep-cycle,Maintaining a triphasic sleep cycle,
33,10/17/2019 22:56:08,Just things on my mind,content.md,should-i-move-on,Should I move on?,
34,12/13/2019 07:58:45,HTTP 301: Redirecting this blog to a new home...,content.md,301,301,
35,05/21/2020 16:18:35,My first ever post? This is a new beginning. Just testing... 1. 2. 3...,content.md,first,First!,
36,07/11/2020 14:50:39,How does one go about doing CI-CD for monorepos. Just checking how I should manage CI in this portfolio project without creating unnecessary complications...,content.md,ci-for-monorepos,CI for monorepos?,
37,07/13/2020 17:21:02,"From the past couple of days, I've been working with Adonis V5. In fact, this site's API is being written with Adonis V5. It's a really cool and feature-packed Framework for node...",content.md,adonis-v5-writing-your-first-custom-provider,Adonis V5: Writing your first custom provider!,
38,07/22/2020 00:25:37,Finally! Let's add TypeScript to an exising Sapper project,content.md,adding-type-script-to-sapper-projects,Adding TypeScript to Sapper Projects,
39,09/30/2020 11:44:56,"Let's allow for some interactions... Enter, comments.",content.md,hello-comments,Hello comments!,
